index,comment,date,platform,title,product
0,第一次购买这种含片，看评价说可以提神醒脑，能量十足，吃过之后感觉还不错，希望下次能够带来好运气！作为京东10年来的超级忠实粉丝，每天至少逛一遍京东，虽然工资月收入很低，但是每个月在京东上面消费达到平均三千，有时候还很多，一年平均下来要消费五六万，没钱了用白条都要提前消费购物。因为京东这个平台上面的东西实在是太多了，各种品牌，拥有尽有，而且很多东西都质量非常好，购买方便快捷，很快就到货，不满意的也会上门免费取件退回，不需要多费神，这是我非常满意的地方。作为铁粉，希望京东多搞一点优惠力度更大的活动，至少要比实体店优惠更多，另外希望京东的所有所有的商品一律都是正品百分百正品行货！支持京东！希望继续做好一级棒的销售和售后服务！！,牛磺酸气泡含片 2021-03-08 00:27,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
1,维C含量丰富，营养丰富，酸酸甜甜孩子喜欢，Q弹的口感。每日可以补充维C，健康又实用。含量真的很丰富。为了显示对比 ，Q弹的效果，颜色清凉，像一个橙子一样。酸甜入口后劲儿十足。 就像在吃糖一样，孩子喜欢。,维生素软糖*5 2021-02-20 08:45,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
2,很好?从没想过这么实惠的价格，?能买到这么好的宝贝，?性价比非常高，我很喜欢哦?是正品很好用，价格便宜了很多，性价比超高，真的特别划算，包装也很高端大气上档次，值得购买一直在这里买这个，活动的时候价格很美丽，发货速度贼快，质量不错，应该是正品真的推荐啊，快递速度特别的快，爱了爱了质量挺好，物流也很快，赞！材质结实，手感好，很得劲，物流也快，性价比很高，值得购买跟我在实体店买的一模一样！还是一样的好用，开心趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说，棒?宝贝收到，物流很快，描述相符，比较满意，好评，推荐,维生素软糖 2021-02-05 19:29,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
3,发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评物流很快，物品完好无损，用起来很舒服，喜欢?质量挺好，物流也很快，赞！尺寸刚刚好，质量也非常好，店家的包装太用心了，值得推荐！刚好做活动，价格便宜了很多，性价比超高，真的特别划算正品，棒棒哒，价格很优惠，总而言之挺好的，还会再买质量非常好，非常满意的一次购物。客服有问必答，非常专业本来还很担心东西不好，拿到手发现完全多虑了，五星好评产品包装精致美观大气，目前用着非常不错，真实评价，希望可以帮到集美们,明目软糖 2021-03-04 21:32,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
4,物流快，包装精致，味道非常好，甜甜的，助眠和缓解疲劳非常好，有时候开车感觉困了来两颗，非常不错，推荐，准备再入手多几代慢慢吃,明目软糖 2021-01-19 23:45,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
5,带着酸甜味，维C软糖真的太好吃了，可以增**生素，预防感冒，效果真是棒棒的,维生素软糖*5 2021-01-21 12:00,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
6,包装真的是很好看，味道很好吃，现在还不知道效果，等过段时间看效果怎么样在来评价。,维生素软糖*5 2021-01-20 15:45,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
7,这真的是没想到这一款糖这么好吃，而且吃完以后补充非常大的动力，去运动明显能看出来他是无糖的，并且他也无添加任何蔗糖，所以没有对这个糖尿病患者也可以使用金钱的运动完之后做一个补充技术非常的舒服比较合适，而且他的外包装非常的艳丽，快递有既往的给力。,牛磺酸气泡含片 2021-03-07 22:18,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
8,"简直是一款颜值又高又好吃的叶黄素酯软糖哦！
首先产品收到了，包装非常好，没有一点破损！
再说说产品的颜值吧，包装盒非常的帅气，而且里面每包都是绿色的包装，**太酷了！
零蔗糖的配方，超级放心哦！
每一块儿糖设计也太可爱了吧，吃起来有淡淡的蓝莓味儿。超级好吃，我相信大家一定都会喜欢这款产品的哦！",明目软糖 2021-03-05 21:09,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
9,非常好??,餐前咀嚼糖 2021-03-04 22:52,JD.com,【Buff XBUFF X SLEEP】BUFF X SLEEP软糖GABA软糖无蔗糖哈欠糖果20粒*1盒【行情 报价 价格 评测】-京东,Sleep
